name,categories,lat,lng
La Bouchee d'Or,Bakery,18.53893142977607,73.87667715007233
O Hotel,Hotel,18.540015365651918,73.88779209902417
The Bar Stock Exchange,Pub,18.53446645624323,73.89975061647455
Zamus,BBQ Joint,18.53648968182744,73.8758983980925
Godrej Nature's Basket,Organic Grocery,18.536674350609413,73.89722444026069
Hotfut,Soccer Field,18.535175786127176,73.92015406987305
The Flour Works,Breakfast Spot,18.549672607616056,73.9009654570756
Kapila Kathi Kabab,Kebab Restaurant,18.53488822484841,73.8762967028389
Northern Frontier,Indian Restaurant,18.553327914000413,73.8997229549811
Sen5es,Café,18.53303111691063,73.91035866996965
EVVIVA Sky Lounge,Lounge,18.531412676928273,73.87670773171725
Classic Rock Coffee Co,Pub,18.548868508614838,73.90640149952664
Natural Ice Cream,Ice Cream Shop,18.539104776696824,73.90020025378276
Kangan,Indian Restaurant,18.53961573964729,73.90594842391587
Shisha Café,Jazz Club,18.53911992928881,73.90487197388825
Hyatt Regency Pune,Hotel,18.55990628207152,73.91197700383984
Venky's Chicken,Fast Food Restaurant,18.513503048807866,73.87976573679676
Farzi Cafe,Indian Chinese Restaurant,18.54362468230375,73.90510705192936
Solaris Gym,Gym,18.550316314933724,73.90451512308518
Pesto Pesto,Italian Restaurant,18.53825300471828,73.90713564902727
Le Méridien,Hotel,18.5300014,73.8713841
JJ Garden Wada Pav,Food Truck,18.516721393741783,73.87532667811789
Joggers Park,Park,18.54986835990682,73.90242286235049
Diamond Queen,Indian Restaurant,18.518235663925047,73.88001085306523
Kayani Bakery,Bakery,18.51479706269301,73.87985980267678
Zafran Exotica,Indian Restaurant,18.5529258636839,73.89274513097905
Shizusan,Asian Restaurant,18.56172188024092,73.91677481250974
Kareem's,Indian Restaurant,18.51423826998531,73.87980916072576
Vohuman Cafe,Breakfast Spot,18.53255479726013,73.87683391571045
The Blue Frog Pune,Nightclub,18.556693934985876,73.89491303918615
Thousand Oaks  / 1000 Oaks,Bar,18.510671720653598,73.87999263541404
Chopsticks Spice Malabar,Southern / Soul Food Restaurant,18.565244525751083,73.91311556130246
multiFit Elite Fitness Training,Gym / Fitness Center,18.545825361398226,73.90664938384957
Natural Ice Cream,Ice Cream Shop,18.567612332430592,73.91774758728404
Madinah Hotel,Indian Restaurant,18.507210780715518,73.87501620615589
Mughal's,Indian Restaurant,18.51569010232164,73.87961173532855
95 Pasta N Pizza,Italian Restaurant,18.56100926467741,73.92003135571278
Hira Ki Tapri [H.K.T],Tea Room,18.57392690191187,73.88519646285826
Hard Rock Cafe Pune,American Restaurant,18.538863,73.9127542
Main Street,Plaza,18.51622868793453,73.87881224203392
Falahaar,Juice Bar,18.565389884597835,73.91815801138378
Garden Vada Pav,Fast Food Restaurant,18.517273510439413,73.87728365473252
Touché The Sizzler (The Place),Steakhouse,18.51858264880105,73.87856485813023
Sheraton Grand Pune,Hotel,18.530105842924414,73.87137017215163
Perks 'N' Brews,Coffee Shop,18.567873223093553,73.91476633604545
Dorabjee & Sons Restaurant,Parsi Restaurant,18.515215292987282,73.87692348133679
Anonymous Cafe Bar,Bar,18.544580353884154,73.9116235021487
Agakhan Palace,Historic Site,18.553477744009463,73.90202210275363
blue shack,Restaurant,18.528148721368964,73.9188210101176
Burger Barn,Burger Joint,18.533011243736798,73.89709119973229
Royal Western Indian Turf Club,Racetrack,18.507032688189817,73.89064087616383
Supriya,Indian Restaurant,18.51942060875905,73.87572864086361
PVR Cinemas,Multiplex,18.562505625135998,73.91661263367239
Hyatt Pune,Hotel,18.554247604517535,73.90469311452972
Subway,Fast Food Restaurant,18.51589893159622,73.87959171465702
cafe coffee day,Café,18.5356564402876,73.88569131139757
Dorabjees,Department Store,18.56834643694545,73.9074313307174
PVR bluO,Bowling Alley,18.56161425879978,73.91713313145287
Cafe Toons,Sports Bar,18.51627179552993,73.87887552615932
Poona Club,Indian Restaurant,18.522973762245087,73.8791395488057
Coconut Grove,Seafood Restaurant,18.5256809132634,73.86698863631743
Cafe Yezdan,Breakfast Spot,18.514896093356153,73.8767392864501
Subway,Sandwich Place,18.527697110471134,73.87796813257293
Bund Garden,Garden,18.5410219845637,73.88389404865349
Natural's Ice Cream,Ice Cream Shop,18.51020166635732,73.93138583545058
Phoenix Market City,Shopping Mall,18.561950715024775,73.91689538955688
Himalaya Momos,Dumpling Restaurant,18.566084512943647,73.91082031493391
Latitude,Multicuisine Indian Restaurant,18.538490441633385,73.88634530650525
"The Bombay Bronx, Pune",Pub,18.539235189258516,73.87512606929815
Domino's Pizza,Pizza Place,18.5320286019098,73.8767760370835
11 East Street Cafe,Bar,18.512403447489135,73.88031499121894
Blue Nile Restaurant,Indian Restaurant,18.52168432950116,73.87755259434938
Mainland China,Chinese Restaurant,18.538874069434044,73.87539689680744
Lal Mahal,Historic Site,18.518719674058865,73.85655641555786
Ahling Chinese,Chinese Restaurant,18.532165091735802,73.87676620340925
Starbucks,Coffee Shop,18.539341390980805,73.88660174742675
Central Park Hotel Pune,Hotel,18.527420590759935,73.87869346850579
Crazy Noodles,Chinese Restaurant,18.518635834417463,73.93601579234219
Cinepolis VIP,Multiplex,18.519123836288394,73.93129490307122
Gold's Gym,Gym,18.521173399438155,73.92655389331667
Zambar,Indian Restaurant,18.518637077900113,73.93512246586336
Amanora Town Centre,Shopping Mall,18.518746802768312,73.93520426899276
Fresco,Mediterranean Restaurant,18.518642909986795,73.93505110013005
Subway,Sandwich Place,18.51864171904437,73.93607715219899
INOX,Multiplex,18.518703102205514,73.93599029674462
Spice Factory - Roof Top Restaurant,Multicuisine Indian Restaurant,18.548242662460755,73.9362271285633
Wah Marathi,Indian Restaurant,18.519126435097398,73.93141038421493
Subway,Sandwich Place,18.519031806165117,73.93072083389279
Haagen-Dazs,Ice Cream Shop,18.518804236596463,73.93392220504848
Spaghetti Kitchen,Italian Restaurant,18.51872114361258,73.93476261113675
Cafe Coffee Day,Coffee Shop,18.518756479814108,73.9342283700502
Cuba Libre: Cuban Pub,Pub,18.51922007348206,73.93242655510726
Rolls Mania,Fast Food Restaurant,18.50960910109352,73.92854732879618
Mainland China,Chinese Restaurant,18.518563534502544,73.9351726958475
Cafe Coffee Day,Coffee Shop,18.512372428353604,73.92869493017156
Four Points by Sheraton,Hotel,18.5629897,73.9222659
Starbucks Coffee: A Tata Alliance,Coffee Shop,18.519106181534198,73.93141926770566
Marrakesh,Middle Eastern Restaurant,18.50943021158525,73.92829586774526
Basho's,Indian Restaurant,18.530553919360468,73.91839692024699
Chopsticks,Indian Restaurant,18.56522788197092,73.91317943463237
Central,Department Store,18.518611280813023,73.93391837759341
Diamond Bakery,Breakfast Spot,18.50162781614905,73.90206920358732
Cafe Mangii,Italian Restaurant,18.518494992135164,73.93491569133691
rude Lounge - Viman Nagar,Lounge,18.561130057658403,73.91808305840722
Z plus restaurant,Indian Restaurant,18.523863463950942,73.93258678212875
Starbucks,Coffee Shop,18.518861437466494,73.93466537188995
